"","name.age","year","vaccine","manufacturer","brandname_tradename","cost_type","ave_annual_cost_per_dose","cpi.2023.factor","pce.2023.factor","price.2023","index"
"1","acthib.ped",2001,"Hib• ¤","Aventis Pateur","acthib","cdc",5.75,2.005208359,1.650056811,11.52994806425,"CPI"
"2","acthib.ped",2002,"Hib•¤","Aventis Pateur","acthib","cdc",6.80494505494505,1.91488155,1.608721162,13.030663734478,"CPI"
"3","acthib.ped",2003,"Hib•¤","Aventis
Pasteur","acthib","cdc",7.46807692307692,1.841234325,1.549860719,13.7504795725096,"CPI"
"4","acthib.ped",2004,"Hib•","Aventis Pasteur","acthib","cdc",7.52,1.763561813,1.494470898,13.26198483376,"CPI"
"5","acthib.ped",2005,"Hib•","Aventis Pasteur","acthib","cdc",7.6482032967033,1.692177276,1.448428295,12.9421158209096,"CPI"
"6","acthib.ped",2006,"Hib•","sanofi pasteur","acthib","cdc",7.84756043956044,1.626911236,1.40572577,12.76728425431,"CPI"
"7","acthib.ped",2007,"Hib•","sanofi pasteur","acthib","cdc",8.13857142857143,1.557985358,1.355553446,12.6797751207514,"CPI"
"8","acthib.ped",2008,"Hib•","sanofi pasteur","acthib","cdc",8.37692307692308,1.502325779,1.319923438,12.5848674871615,"CPI"
"9","acthib.ped",2009,"Hib [5]","Sanofi Pasteur","acthib","cdc",8.65478021978022,1.456182396,1.284946781,12.602938597293,"CPI"
"10","acthib.ped",2010,"Hib [5]","Sanofi Pasteur","acthib","cdc",8.78563186813187,1.40813949,1.253327775,12.371395178119,"CPI"
"11","acthib.ped",2011,"Hib [5]","Sanofi Pasteur","acthib","cdc",8.95843406593407,1.366560793,1.230831663,12.2422447611811,"CPI"
"12","acthib.ped",2012,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.14505494505494,1.318204705,1.209116085,12.0550544560549,"CPI"
"13","acthib.ped",2013,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.29785714285714,1.286549488,1.19260628,11.96215334664,"CPI"
"14","acthib.ped",2014,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.35258241758242,1.256481647,1.179249503,11.7513481597472,"CPI"
"15","acthib.ped",2015,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.42774725274725,1.224263268,1.172604446,11.5420446615264,"CPI"
"16","acthib.ped",2016,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.525,1.179598349,1.159171774,11.235674274225,"CPI"
"17","acthib.ped",2017,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.55,1.150713146,1.142433333,10.9893105443,"CPI"
"18","acthib.ped",2018,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.30912087912088,1.128428703,1.121517041,10.5046791996966,"CPI"
"19","acthib.ped",2019,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.4211978021978,1.097384147,1.102064703,10.3386731138831,"CPI"
"20","acthib.ped",2020,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.6805,1.054125819,1.074887409,10.2044649908295,"CPI"
"21","acthib.ped",2021,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.95225274725275,1.041270063,1.04458688,10.3629828451238,"CPI"
"22","acthib.ped",2022,"Hib [5]","Sanofi Pasteur","acthib","cdc",10.2985164835165,1.000724992,1.020084409,10.3059828255789,"CPI"
"23","acthib.ped",2023,"Hib [5]","Sanofi Pasteur","acthib","cdc",10.6805604395604,1,1,10.6805604395604,"CPI"
"24","acthib.ped",2001,"Hib• ¤","Aventis Pateur","acthib","private",15.25,2.005208359,1.650056811,30.57942747475,"CPI"
"25","acthib.ped",2002,"Hib•¤","Aventis Pateur","acthib","private",15.25,1.91488155,1.608721162,29.2019436375,"CPI"
"26","acthib.ped",2003,"Hib•¤","Aventis
Pasteur","acthib","private",20.6677472527473,1.841234325,1.549860719,38.0541656621827,"CPI"
"27","acthib.ped",2004,"Hib•","Aventis Pasteur","acthib","private",21.78,1.763561813,1.494470898,38.41037628714,"CPI"
"28","acthib.ped",2005,"Hib•","Aventis Pasteur","acthib","private",21.798543956044,1.692177276,1.448428295,36.8870007323047,"CPI"
"29","acthib.ped",2006,"Hib•","sanofi pasteur","acthib","private",22.53,1.626911236,1.40572577,36.65431014708,"CPI"
