"","name.age","year","vaccine","manufacturer","brandname_tradename","cost_type","ave_annual_cost_per_dose"
"1","acthib.ped",2001,"Hib• ¤","Aventis Pateur","acthib","cdc",5.75
"2","acthib.ped",2002,"Hib•¤","Aventis Pateur","acthib","cdc",6.80494505494505
"3","acthib.ped",2003,"Hib•¤","Aventis
Pasteur","acthib","cdc",7.46807692307692
"4","acthib.ped",2004,"Hib•","Aventis Pasteur","acthib","cdc",7.52
"5","acthib.ped",2005,"Hib•","Aventis Pasteur","acthib","cdc",7.6482032967033
"6","acthib.ped",2006,"Hib•","sanofi pasteur","acthib","cdc",7.84756043956044
"7","acthib.ped",2007,"Hib•","sanofi pasteur","acthib","cdc",8.13857142857143
"8","acthib.ped",2008,"Hib•","sanofi pasteur","acthib","cdc",8.37692307692308
"9","acthib.ped",2009,"Hib [5]","Sanofi Pasteur","acthib","cdc",8.65478021978022
"10","acthib.ped",2010,"Hib [5]","Sanofi Pasteur","acthib","cdc",8.78563186813187
"11","acthib.ped",2011,"Hib [5]","Sanofi Pasteur","acthib","cdc",8.95843406593407
"12","acthib.ped",2012,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.14505494505494
"13","acthib.ped",2013,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.29785714285714
"14","acthib.ped",2014,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.35258241758242
"15","acthib.ped",2015,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.42774725274725
"16","acthib.ped",2016,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.525
"17","acthib.ped",2017,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.55
"18","acthib.ped",2018,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.30912087912088
"19","acthib.ped",2019,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.4211978021978
"20","acthib.ped",2020,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.6805
"21","acthib.ped",2021,"Hib [5]","Sanofi Pasteur","acthib","cdc",9.95225274725275
"22","acthib.ped",2022,"Hib [5]","Sanofi Pasteur","acthib","cdc",10.2985164835165
"23","acthib.ped",2023,"Hib [5]","Sanofi Pasteur","acthib","cdc",10.6805604395604
"24","acthib.ped",2001,"Hib• ¤","Aventis Pateur","acthib","private",15.25
"25","acthib.ped",2002,"Hib•¤","Aventis Pateur","acthib","private",15.25
"26","acthib.ped",2003,"Hib•¤","Aventis
Pasteur","acthib","private",20.6677472527473
"27","acthib.ped",2004,"Hib•","Aventis Pasteur","acthib","private",21.78
"28","acthib.ped",2005,"Hib•","Aventis Pasteur","acthib","private",21.798543956044
"29","acthib.ped",2006,"Hib•","sanofi pasteur","acthib","private",22.53
"30","acthib.ped",2007,"Hib•","sanofi pasteur","acthib","private",22.0746428571429
"31","acthib.ped",2008,"Hib•","sanofi pasteur","acthib","private",21.78
"32","acthib.ped",2009,"Hib [5]","Sanofi Pasteur","acthib","private",22.7290384615385
"33","acthib.ped",2010,"Hib [5]","Sanofi Pasteur","acthib","private",23.583010989011
"34","acthib.ped",2011,"Hib [5]","Sanofi Pasteur","acthib","private",24.29
"35","acthib.ped",2012,"Hib [5]","Sanofi Pasteur","acthib","private",25.4537912087912
"36","acthib.ped",2013,"Hib [5]","Sanofi Pasteur","acthib","private",26.0778571428571
"37","acthib.ped",2014,"Hib [5]","Sanofi Pasteur","acthib","private",26.21
"38","acthib.ped",2015,"Hib [5]","Sanofi Pasteur","acthib","private",27.3774725274725
"39","acthib.ped",2016,"Hib [5]","Sanofi Pasteur","acthib","private",24.5112087912088
"40","acthib.ped",2017,"Hib [5]","Sanofi Pasteur","acthib","private",15.75
"41","acthib.ped",2018,"Hib [5]","Sanofi Pasteur","acthib","private",16.05
"42","acthib.ped",2019,"Hib [5]","Sanofi Pasteur","acthib","private",16.5087362637363
"43","acthib.ped",2020,"Hib [5]","Sanofi Pasteur","acthib","private",17.14
"44","acthib.ped",2021,"Hib [5]","Sanofi Pasteur","acthib","private",17.63
"45","acthib.ped",2022,"Hib [5]","Sanofi Pasteur","acthib","private",18.0876703296703
"46","acthib.ped",2023,"Hib [5]","Sanofi Pasteur","acthib","private",18.8783846153846
"47","adacel.adult",2009,"Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi Pasteur","adacel","cdc",26.6572727272727
"48","adacel.adult",2010,"Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi Pasteur","adacel","cdc",26.3207692307692
"49","adacel.adult",2011,"Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi Pasteur","adacel","cdc",26.25
"50","adacel.adult",2012,"Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi Pasteur","adacel","cdc",25.0179725274725
"51","adacel.adult",2013,"Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi","adacel","cdc",24.2266236263736
"52","adacel.adult",2014,"Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi","adacel","cdc",22.7940906593407
"53","adacel.adult",2015,"Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi","adacel","cdc",23.0278571428571
"54","adacel.adult",2016,"Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi","adacel","cdc",23.581532967033
"55","adacel.adult",2017,"Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi","adacel","cdc",24.2545631868132
"56","adacel.adult",2018,"Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi","adacel","cdc",24.9065
"57","adacel.adult",2019,"Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi","adacel","cdc",24.4929642857143
