"","manufacturer","vaccine_group","vaccine","name.age","brandname_tradename","age","cost_type","year_intro","price_intro","price.2023_intro","year_recent","price_recent","price.2023_recent","price_change","market_years","average_annual_change","annual_pct_change"
"1","sanofi","HiB","Hib• ¤","acthib.ped","acthib","ped","private",2001,15.25,30.57942747475,2023,18.8783846153846,18.8783846153846,-11.7010428593654,22,-0.531865584516609,-0.0216846101647129
"2","glaxosmithkline","Hep B","Hepatitis
B-Adult•","engerixb.adult","engerixb","adult","private",2001,51.73,103.72942841107,2023,66.6295961538462,66.6295961538462,-37.0998322572238,22,-1.68635601169199,-0.0199188095419125
"3","glaxosmithkline","Hep B","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","engerixb.ped","engerixb","ped","private",2001,24.2,48.5260422878,2023,27.2708763736264,27.2708763736264,-21.2551659141736,22,-0.966143905189709,-0.025854500871802
"4","glaxosmithkline","Hep A","Hepatitis A Adult¤","havrix.adult","havrix","adult","private",2001,59.45,119.20963694255,2023,79.4493543956044,79.4493543956044,-39.7602825469456,22,-1.80728557031571,-0.0182747643153144
"5","glaxosmithkline","Hep A","Hepatitis A Pediatric¤","havrix.ped","havrix","ped","private",2001,29.73,59.61484451307,2023,36.8342362637363,36.8342362637363,-22.7806082493337,22,-1.03548219315153,-0.0216475661937683
"6","glaxosmithkline","DTaP/Tdap/Td","DTaP/¤","infanrix.ped","infanrix","ped","private",2001,18.5,37.0963546415,2023,27.9376016483516,27.9376016483516,-9.1587529931484,22,-0.416306954234018,-0.0128057180286995
"7","sanofi","Polio","e-IPV• ¤","ipol.ped","ipol","ped","private",2001,15.42,30.92031289578,2023,40.4811868131868,40.4811868131868,9.5608739174068,22,0.434585178063946,0.0123218414439745
"8","merck","MMR","MMR• ¤","mmrii.ped","mmrii","ped","private",2001,28.2423420074349,56.6317802710454,2023,89.6743791208791,89.6743791208791,33.0425988498337,22,1.50193631135608,0.0211113378221304
"9","merck","HiB","Hib• ¤","pedvaxhib.ped","pedvaxhib","ped","private",2001,18.3915241635688,36.8788379875386,2023,28.8021263736264,28.8021263736264,-8.0767116139122,22,-0.367123255177827,-0.0111729623908672
"10","merck","Hep B","Hepatitis
B-Adult•","recombivaxhb.adult","recombivaxhb","adult","private",2001,53.1923048327138,106.661654285034,2023,64.8391263736264,64.8391263736264,-41.8225279114076,22,-1.90102399597307,-0.0223710848000287
"11","merck","Hep B","Hepatitis
B• ¤ Preservative Free Pediatric/Adolescent","recombivaxhb.ped","recombivaxhb","ped","private",2001,20.7069516728625,41.5217525838328,2023,26.2841263736264,26.2841263736264,-15.2376262102064,22,-0.6926193731912,-0.0205696905655955
"12","merck","Hep A","Hepatitis A Adult¤","vaqta.adult","vaqta","adult","private",2001,51.71,103.68932424389,2023,76.6281263736264,76.6281263736264,-27.0611978702636,22,-1.23005444864835,-0.0136529848543862
"13","merck","Hep A","Hepatitis A Pediatric¤","vaqta.ped","vaqta","ped","private",2001,25.3957249070632,50.9237198665076,2023,36.5941263736264,36.5941263736264,-14.3295934928812,22,-0.651345158767327,-0.0149078107189393
"14","merck","Varicella","Varicella• ¤","varivax.ped","varivax","ped","private",2001,46.7278810408922,93.6991376615547,2023,159.927126373626,159.927126373626,66.2279887120713,22,3.01036312327597,0.0245990140462145
"15","sanofi","HiB","Hib• ¤","acthib.ped","acthib","ped","cdc",2001,5.75,11.52994806425,2023,10.6805604395604,10.6805604395604,-0.8493876246896,22,-0.0386085283949818,-0.00347225419357755
"16","glaxosmithkline","Hep B","Hepatitis
B-Adult•","engerixb.adult","engerixb","adult","cdc",2001,23.25,46.62109434675,2023,34.8664945054945,34.8664945054945,-11.7545998412555,22,-0.534299992784341,-0.013118949291791
"17","glaxosmithkline","Hep B","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","engerixb.ped","engerixb","ped","cdc",2001,9,18.046875231,2023,16.737456043956,16.737456043956,-1.309419187044,22,-0.0595190539565454,-0.00341793948190217
"18","glaxosmithkline","Hep A","Hepatitis A Adult¤","havrix.adult","havrix","adult","cdc",2001,16.82,33.72760459838,2023,38.569,38.569,4.84139540162001,22,0.220063427346364,0.00611554292194194
"19","glaxosmithkline","Hep A","Hepatitis A Pediatric¤","havrix.ped","havrix","ped","cdc",2001,11.15,22.35807320285,2023,22.8407802197802,22.8407802197802,0.482707016930199,22,0.0219412280422818,0.000971383827682359
"20","glaxosmithkline","DTaP/Tdap/Td","DTaP/¤","infanrix.ped","infanrix","ped","cdc",2001,10.58,21.21510443822,2023,20.9137417582418,20.9137417582418,-0.301362679978197,22,-0.0136983036353726,-0.000650104871276147
"21","sanofi","Polio","e-IPV• ¤","ipol.ped","ipol","ped","cdc",2001,8.25,16.54296896175,2023,15.7656318681319,15.7656318681319,-0.777337093618099,22,-0.0353335042553681,-0.00218528164111242
"22","merck","MMR","MMR• ¤","mmrii.ped","mmrii","ped","cdc",2001,15.53,31.14088581527,2023,24.6372802197802,24.6372802197802,-6.5036055954898,22,-0.295618436158627,-0.0105917293095752
"23","merck","HiB","Hib• ¤","pedvaxhib.ped","pedvaxhib","ped","cdc",2001,8.1,16.2421877079,2023,15.4553186813187,15.4553186813187,-0.786869026581302,22,-0.0357667739355137,-0.00225467445891114
"24","merck","Hep B","Hepatitis
B-Adult•","recombivaxhb.adult","recombivaxhb","adult","cdc",2001,23.5306691449814,47.1838944623801,2023,32.425,32.425,-14.7588944623801,22,-0.670858839199096,-0.0169064939680195
"25","merck","Hep B","Hepatitis
B• ¤ Preservative Free Pediatric/Adolescent","recombivaxhb.ped","recombivaxhb","ped","cdc",2001,9,18.046875231,2023,13.836043956044,13.836043956044,-4.210831274956,22,-0.191401421588909,-0.0120044323933586
"26","glaxosmithkline","Hep A/B","Hepatitis A-Hepatitis B Adult¤","twinrix.adult","twinrix","adult","cdc",2001,36.16,72.50833426144,2023,71.9640824175824,71.9640824175824,-0.544251843857595,22,-0.0247387201753452,-0.000342412788309487
"27","merck","Hep A","Hepatitis A Adult¤","vaqta.adult","vaqta","adult","cdc",2001,17.5509293680297,35.1932702769918,2023,39.2534203296703,39.2534203296703,4.0601500526785,22,0.18455227512175,0.00497523118180299
"28","merck","Hep A","Hepatitis A Pediatric¤","vaqta.ped","vaqta","ped","cdc",2001,11.15,22.35807320285,2023,23.1368131868132,23.1368131868132,0.778739983963199,22,0.0353972719983272,0.00155746251912081
"29","merck","Varicella","Varicella• ¤","varivax.ped","varivax","ped","cdc",2001,39.14,78.48385517126,2023,130.009285714286,130.009285714286,51.525430543026,22,2.342065024683,0.0232066773893285
"30","sanofi","DTaP/Tdap/Td","DTaP/¤","daptacel.ped","daptacel","ped","private",2003,20.752582781457,38.2103677496225,2023,35.6091620879121,35.6091620879121,-2.6012056617104,20,-0.13006028308552,-0.00351898974560561
"31","glaxosmithkline","DTaP-Hep B-IPV","DTaP-Hep B-IPV*","pediarix.ped","pediarix","ped","private",2003,62.7225827814569,115.486972369873,2023,92.4135082417582,92.4135082417582,-23.0734641281148,20,-1.15367320640574,-0.0110823615793676
"32","glaxosmithkline","Hep A/B","Hepatitis A-Hepatitis B Adult¤","twinrix.adult","twinrix","adult","private",2003,78.5959602649007,144.713579846071,2023,121.00721978022,121.00721978022,-23.706360065851,20,-1.18531800329255,-0.00890542302183794
"33","sanofi","DTaP/Tdap/Td","DTaP/¤","daptacel.ped","daptacel","ped","cdc",2003,12.75,23.47573764375,2023,20.5439230769231,20.5439230769231,-2.9318145668269,20,-0.146590728341345,-0.00664791736858827
"34","glaxosmithkline","DTaP-Hep B-IPV","DTaP-Hep B-IPV*","pediarix.ped","pediarix","ped","cdc",2003,32.75,60.30042414375,2023,63.8183406593407,63.8183406593407,3.5179165155907,20,0.175895825779535,0.0028390967525862
"35","sanofi","DTaP/Tdap/Td","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis/","adacel.ped","adacel","ped","private",2005,35.75,60.495337617,2023,52.243717032967,52.243717032967,-8.251620584033,18,-0.458423365779611,-0.00811393964035434
"36","glaxosmithkline","DTaP/Tdap/Td","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis/","boostrix.ped","boostrix","ped","private",2005,35.25,59.649248979,2023,45.9682445054945,45.9682445054945,-13.6810044735055,18,-0.760055804083639,-0.0143696860419742
"37","merck","MMRV","Measles, Mumps, Rubella and Varicella (MMR-V) #","proquad.ped","proquad","ped","private",2005,117.6,199.0000476576,2023,265.17743956044,265.17743956044,66.17739190284,18,3.67652177238,0.0160775483770077
"38","glaxosmithkline","Hep A/B","Hepatitis A-Hepatitis B 18 only^","twinrix.ped","twinrix","ped","private",2005,78.16,132.26057589216,2023,121.00721978022,121.00721978022,-11.25335611194,18,-0.625186450663334,-0.00492802972353401
"39","sanofi","DTaP/Tdap/Td","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis/","adacel.ped","adacel","ped","cdc",2005,30.75,52.034451237,2023,35.364032967033,35.364032967033,-16.670418269967,18,-0.9261343483315,-0.0212276063269694
"40","glaxosmithkline","DTaP/Tdap/Td","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis/","boostrix.ped","boostrix","ped","cdc",2005,28.75,48.650096685,2023,35.7619505494505,35.7619505494505,-12.8881461355495,18,-0.716008118641639,-0.0169529482657058
"41","merck","MMRV","Measles, Mumps, Rubella and Varicella (MMR-V) #","proquad.ped","proquad","ped","cdc",2005,74.85,126.6594691086,2023,162.229082417582,162.229082417582,35.569613308982,18,1.97608962827678,0.0138453763788486
"42","glaxosmithkline","Hep A/B","Hepatitis A-Hepatitis B 18 only^","twinrix.ped","twinrix","ped","cdc",2005,36.91,62.45826325716,2023,69.672521978022,69.672521978022,7.21425872086201,18,0.400792151159,0.00609111258913986
"43","merck","Rotavirus","Rotavirus, Live, Oral, Pentavalent •","rotateq.ped","rotateq","ped","private",2006,63.25,102.902135677,2023,93.1251263736264,93.1251263736264,-9.7770093033736,17,-0.575118194316094,-0.00585539956751313
"44","merck","Rotavirus","Rotavirus, Live, Oral, Pentavalent •","rotateq.ped","rotateq","ped","cdc",2006,52,84.599384272,2023,78.6737912087912,78.6737912087912,-5.92559306320879,17,-0.348564297835811,-0.00426247270749014
"45","glaxosmithkline","DTaP-IPV","DTaP-IPV [2]","kinrix.ped","kinrix","ped","private",2008,48,72.111637392,2023,59.2022774725275,59.2022774725275,-12.9093599194725,15,-0.860623994631501,-0.0130642734748628
"46","sanofi","DTaP-IPV","DTaP-IP-HI [4]","pentacel.ped","pentacel","ped","private",2008,72.91,109.53457254689,2023,110.861785714286,110.861785714286,1.327213167396,15,0.0884808778263997,0.000803257188290996
"47","glaxosmithkline","Rotavirus","Rotavirus, Live, Oral, Oral [5]","rotarix.ped","rotarix","ped","private",2008,102.5,153.9883923475,2023,134.389686813187,134.389686813187,-19.598705534313,15,-1.3065803689542,-0.0090345103332421
"48","glaxosmithkline","DTaP-IPV","DTaP-IPV [2]","kinrix.ped","kinrix","ped","cdc",2008,32.25,48.45000637275,2023,46.5418956043956,46.5418956043956,-1.9081107683544,15,-0.12720738455696,-0.00267505445988636
"49","sanofi","DTaP-IPV","DTaP-IP-HI [4]","pentacel.ped","pentacel","ped","cdc",2008,50.1,75.2665215279,2023,67.6368131868132,67.6368131868132,-7.6297083410868,15,-0.50864722273912,-0.00710020864054539
"50","glaxosmithkline","Rotavirus","Rotavirus, Live, Oral, Oral [5]","rotarix.ped","rotarix","ped","cdc",2008,82.25,123.56629532275,2023,104.699879120879,104.699879120879,-18.866416201871,15,-1.25776108012473,-0.010984547910375
"51","sanofi","DTaP/Tdap/Td","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","adacel.adult","adacel","adult","private",2009,37.43,54.50490708228,2023,52.243717032967,52.243717032967,-2.261190049313,14,-0.161513574950929,-0.00302193191411493
"52","glaxosmithkline","DTaP/Tdap/Td","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","boostrix.adult","boostrix","adult","private",2009,37.55,54.6796489698,2023,45.9682445054945,45.9682445054945,-8.7114044643055,14,-0.622243176021821,-0.0123192582622879
"53","glaxosmithkline","HiB","Hib [5]","hiberix.ped","hiberix","ped","private",2009,22.83,33.24464410068,2023,12.4136758241758,12.4136758241758,-20.8309682765042,14,-1.48792630546459,-0.067945437816451
"54","merck","MMR","Measles, Mumps and Rubella-Adult [1]","mmrii.adult","mmrii","adult","private",2009,48.31,70.34817155076,2023,89.6743791208791,89.6743791208791,19.3262075701191,14,1.38044339786565,0.0174889071721074
"55","merck","Varicella","Varicella-Adult [5]","varivax.adult","varivax","adult","private",2009,80.58,117.33917746968,2023,159.927126373626,159.927126373626,42.587948903946,14,3.04199635028186,0.0223642379987221
"56","sanofi","DTaP/Tdap/Td","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","adacel.adult","adacel","adult","cdc",2009,26.6572727272727,38.8178512708255,2023,27.9939368131868,27.9939368131868,-10.8239144576387,14,-0.773136746974193,-0.0230789595982556
"57","glaxosmithkline","DTaP/Tdap/Td","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","boostrix.adult","boostrix","adult","cdc",2009,26.48,38.55970984608,2023,27.6579258241758,27.6579258241758,-10.9017840219042,14,-0.778698858707443,-0.0234559315495637
"58","glaxosmithkline","HiB","Hib [5]","hiberix.ped","hiberix","ped","cdc",2009,8.66,12.61053954936,2023,10.6020494505494,10.6020494505494,-2.0084900988106,14,-0.143463578486471,-0.012315366708064
"59","merck","MMR","Measles, Mumps and Rubella-Adult [1]","mmrii.adult","mmrii","adult","cdc",2009,34.065,49.60485331974,2023,58.5610961538462,58.5610961538462,8.9562428341062,14,0.639731631007586,0.0119264098699461
"60","merck","Varicella","Varicella-Adult [5]","varivax.adult","varivax","adult","cdc",2009,55.983,81.521459075268,2023,101.533184065934,101.533184065934,20.011724990666,14,1.42940892790471,0.0158035323159547
"61","novartis","Meningococcal","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","menveo.ped","menveo","ped","private",2010,103.23156133829,145.364438134803,2023,148.121450549451,148.121450549451,2.75701241464799,13,0.212077878049845,0.00144632133241518
