"","vaccine","manufacturer","name.age","brandname_tradename","date","year","cost","packaging","cost_type","age"
"1","DTaP/","Aventis Pasteur","tripedia.ped","tripedia",2001-04-06,2001,17.12,"10 x 1 dose vial","private","ped"
"2","DTaP/¤","Aventis Pasteur","tripedia.ped","tripedia",2001-04-06,2001,17.12,"15 dose vial","private","ped"
"3","DTaP/¤","GlaxoSmithKline","infanrix.ped","infanrix",2001-04-06,2001,18.5,"10 x 1 dose vial","private","ped"
"4","DTaP-Hib #","Aventis Pateur","trihibit.ped","trihibit",2001-04-06,2001,37.32,"5 x 1 dose vials","private","ped"
"5","e-IPV• ¤","Aventis Pasteur","ipol.ped","ipol",2001-04-06,2001,15.42,"10 dose vial","private","ped"
"6","Hepatitis B-Hibi ¤","Merck","comvax.ped","comvax",2001-04-06,2001,38.25,"10 x 1 dose vials","private","ped"
"7","Hepatitis A Pediatric¤","Merck","vaqta.ped","vaqta",2001-04-06,2001,25.17,"5 x 1 dose vial","private","ped"
"8","Hepatitis A Pediatric¤","GlaxoSmithKline","havrix.ped","havrix",2001-04-06,2001,29.73,"10 x 1 dose vial","private","ped"
"9","Hepatitis A Adult¤","GlaxoSmithKline","havrix.adult","havrix",2001-04-06,2001,59.45,"1 dose vial","private","adult"
"10","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","GlaxoSmithKline","engerixb.ped","engerixb",2001-04-06,2001,24.2,"10 x 1 dose vials","private","ped"
"11","Hepatitis
B• ¤ Preservative Free Pediatric/Adolescent","Merck","recombivaxhb.ped","recombivaxhb",2001-04-06,2001,20.37,"10 x","private","ped"
"12","Hepatitis
B-Adult•","Merck","recombivaxhb.adult","recombivaxhb",2001-04-06,2001,51.73,"10 x 1 dose vials 10 x 3 dose vial","private","adult"
"13","Hepatitis
B-Adult•","GlaxoSmithKline","engerixb.adult","engerixb",2001-04-06,2001,51.73,"1 x 1 dose vial 5 x 1 dose Tiplok","private","adult"
"14","Hib• ¤","Merck","pedvaxhib.ped","pedvaxhib",2001-04-06,2001,18.12,"10 x","private","ped"
"15","Hib• ¤","Wyeth/Lederle","hibtiter.ped","hibtiter",2001-04-06,2001,15.88,"5 x 1 dose vial","private","ped"
"16","Hib• ¤","Aventis Pateur","acthib.ped","acthib",2001-04-06,2001,15.25,"5 x 1 dose vial","private","ped"
"17","MMR• ¤","Merck","mmrii.ped","mmrii",2001-04-06,2001,28.19,"10 x 1 dose vials","private","ped"
"18","Measles• ¤","Merck","attenuvax.ped","attenuvax",2001-04-06,2001,10.4,"10 x 1 dose vials","private","ped"
"19","Mumps• ¤","Merck","mumpsvax.ped","mumpsvax",2001-04-06,2001,13.36,"10 x 1 dose vials","private","ped"
"20","Pneumococcal
7-valent• ¤ (Pediatric)","Wyeth/Lederle","prevnar.ped","prevnar",2001-04-06,2001,58.75,"5 x 1 dose vial","private","ped"
"21","Rubella• ¤","Merck","meuvaxii.ped","meuvaxii",2001-04-06,2001,11.457,"10 x 1 dose vials","private","ped"
"22","Varicella• ¤","Merck","varivax.ped","varivax",2001-04-06,2001,45.56,"10 x 1 dose vial","private","ped"
"23","DTaP/","Aventis Pasteur","tripedia.ped","tripedia",2001-04-06,2001,10.65,"10 x 1 dose vial","cdc","ped"
"24","DTaP/¤","Aventis Pasteur","tripedia.ped","tripedia",2001-04-06,2001,10.65,"15 dose vial","cdc","ped"
"25","DTaP/¤","GlaxoSmithKline","infanrix.ped","infanrix",2001-04-06,2001,10.58,"10 x 1 dose vial","cdc","ped"
"26","DTaP-Hib #","Aventis Pateur","trihibit.ped","trihibit",2001-04-06,2001,22.01,"5 x 1 dose vials","cdc","ped"
"27","e-IPV• ¤","Aventis Pasteur","ipol.ped","ipol",2001-04-06,2001,8.25,"10 dose vial","cdc","ped"
"28","Hepatitis B-Hibi ¤","Merck","comvax.ped","comvax",2001-04-06,2001,21.38,"10 x 1 dose vials","cdc","ped"
"29","Hepatitis A Pediatric¤","Merck","vaqta.ped","vaqta",2001-04-06,2001,11.15,"5 x 1 dose vial","cdc","ped"
"30","Hepatitis A Pediatric¤","GlaxoSmithKline","havrix.ped","havrix",2001-04-06,2001,11.15,"10 x 1 dose vial","cdc","ped"
"31","Hepatitis A Adult¤","Merck","vaqta.adult","vaqta",2001-04-06,2001,18,"1 dose vial","cdc","adult"
"32","Hepatitis A Adult¤","GlaxoSmithKline","havrix.adult","havrix",2001-04-06,2001,16.82,"1 dose vial","cdc","adult"
"33","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","GlaxoSmithKline","engerixb.ped","engerixb",2001-04-06,2001,9,"10 x 1 dose vials","cdc","ped"
"34","Hepatitis
B• ¤ Preservative Free Pediatric/Adolescent","Merck","recombivaxhb.ped","recombivaxhb",2001-04-06,2001,9,"10 x","cdc","ped"
"35","Hepatitis
B 2 dose• Adolescent (11- 15)","Merck","recombivaxhb.ped","recombivaxhb",2001-04-06,2001,23.75,"10 x 1 dose vials","cdc","ped"
"36","Hepatitis
B-Adult•","Merck","recombivaxhb.adult","recombivaxhb",2001-04-06,2001,23.25,"10 x 1 dose vials 10 x 3 dose vial","cdc","adult"
"37","Hepatitis
B-Adult•","GlaxoSmithKline","engerixb.adult","engerixb",2001-04-06,2001,23.25,"1 x 1 dose vial 5 x 1 dose Tiplok","cdc","adult"
"38","Hib• ¤","Merck","pedvaxhib.ped","pedvaxhib",2001-04-06,2001,8.1,"10 x","cdc","ped"
"39","Hib• ¤","Wyeth/Lederle","hibtiter.ped","hibtiter",2001-04-06,2001,6,"5 x 1 dose vial","cdc","ped"
"40","Hib• ¤","Aventis Pateur","acthib.ped","acthib",2001-04-06,2001,5.75,"5 x 1 dose vial","cdc","ped"
"41","MMR• ¤","Merck","mmrii.ped","mmrii",2001-04-06,2001,15.53,"10 x 1 dose vials","cdc","ped"
"42","Measles• ¤","Merck","attenuvax.ped","attenuvax",2001-04-06,2001,6.9,"10 x 1 dose vials","cdc","ped"
"43","Mumps• ¤","Merck","mumpsvax.ped","mumpsvax",2001-04-06,2001,9.24,"10 x 1 dose vials","cdc","ped"
"44","Pneumococcal
7-valent• ¤ (Pediatric)","Wyeth/Lederle","prevnar.ped","prevnar",2001-04-06,2001,45.99,"5 x 1 dose vial","cdc","ped"
"45","Pneumococcal (Adult)","Wyeth/Lederle","pnuimune.adult","pnuimune",2001-04-06,2001,5.606,"5 dose vial","cdc","adult"
"46","Rubella• ¤","Merck","meuvaxii.ped","meuvaxii",2001-04-06,2001,6.5,"10 x 1 dose vials","cdc","ped"
