"","vaccine","brandname_tradename","packaging","cdc_cost_dose","private_sector_cost_dose","contract_end_date","manufacturer","date","year","ndc","contract_number"
"1","Hepatitis A Adult•","VAQTA®","1 dose vials
10 pack – 1 dose vials","$18.50
$18.50","$63.51
$59.99","6/30/06","Merck",2005-12-22,2005,NA,NA
"2","Hepatitis A Adult•","Havrix®","1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$18.50
$18.50","$56.17
$54.98","6/30/06","GlaxoSmithKline",2005-12-22,2005,NA,NA
"3","Hepatitis A-Hepatitis B Adult^","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$36.91
$36.91","$78.16
$78.42","6/30/06","GlaxoSmithKline",2005-12-22,2005,NA,NA
"4","Hepatitis B-Adult•","RECOMBIVAX HB®","1 dose vials
10 pack – 1 dose vials","$19.36
$21.23","$59.70
$59.09","6/30/06","Merck",2005-12-22,2005,NA,NA
"5","Hepatitis B-Adult•","ENGERIX-B®","1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$24.25
$24.25","$51.38
$50.35","6/30/06","GlaxoSmithKline",2005-12-22,2005,NA,NA
"6","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","10 pack of 5 dose vials","$14.00","$24.19","6/30/06","Merck",2005-12-22,2005,NA,NA
"7","Tetanus & Diphtheria Toxoids¤^","Tetanus & Diphtheria Toxoids Adsorbed for Adults","15 dose vials","$9.75","$14.99","6/30/06","Massachusetts Biologic Labs (Henry Schein Inc.)",2005-12-22,2005,NA,NA
"8","Hepatitis A Adult•","VAQTA®","1 dose vials
10 pack – 1 dose vials","$18.50
$18.50","$63.51
$59.99","6/30/06","Merck",2006-04-14,2006,NA,NA
"9","Hepatitis
A Adult•","Havrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$18.50
$18.50","$56.17
$54.98","6/30/06","GlaxoSmithKline",2006-04-14,2006,NA,NA
"10","Hepatitis A-Hepatitis B Adult^","Twinrix®","10
pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$36.91
$36.91","$78.16
$78.42","6/30/06","GlaxoSmithKline",2006-04-14,2006,NA,NA
