"","vaccine","brandname_tradename","packaging","cdc_cost_dose","contract_end_date","manufacturer","date","year","private_sector_cost_dose","ndc","contract_number"
"1","DTaP/","Tripedia®","10 x 1 dose vial","$10.65","3/31/02","Aventis Pasteur",2001-04-06,2001,"$17.12",NA,NA
"2","DTaP/¤","Tripedia®","15 dose vial
10 x 1 dose vial","$10.65","3/31/02","Aventis Pasteur",2001-04-06,2001,"$17.12",NA,NA
"3","DTaP/¤","Infanrix®","10 x 1 dose vial","$10.58","3/31/02","GlaxoSmithKline",2001-04-06,2001,"$18.50",NA,NA
"4","DTaP-Hib #","TriHIBit®","5 x 1 dose vials","$22.01","3/31/02","Aventis Pateur",2001-04-06,2001,"$37.32",NA,NA
"5","e-IPV• ¤","IPOL®","10 dose vial
10 x 1 dose syringe","$8.25","3/31/02","Aventis Pasteur",2001-04-06,2001,"$15.42",NA,NA
"6","Hepatitis B-Hibi ¤","COMVAX®","10 x 1 dose vials","$21.38","3/31/02","Merck",2001-04-06,2001,"$38.25",NA,NA
"7","Hepatitis A Pediatric¤","VAQTA®","5 x 1 dose vial
5 x 1 dose syringes","$11.15","3/31/02","Merck",2001-04-06,2001,"$25.17",NA,NA
"8","Hepatitis A Pediatric¤","Havrix®","10 x 1 dose vial
1 dose vial
5 x 1 dose TipLok
25 x 1 dose TipLok","$11.15","3/31/02","GlaxoSmithKline",2001-04-06,2001,"$29.73",NA,NA
"9","Hepatitis A Adult¤","VAQTA®","1 dose vial
5 x 1 dose vials
5 x 1 dose syringe","$18.00","6/30/01","Merck",2001-04-06,2001,"",NA,NA
"10","Hepatitis A Adult¤","Havrix®","1 dose vial
1 dose TIP-LOK
5 x 1 dose TIP-LOK","$16.82","6/30/01","GlaxoSmithKline",2001-04-06,2001,"$59.45",NA,NA
"11","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","ENGERIX B®","10 x 1 dose vials
5 x 1 dose 23G TipLok
5 x 1 dose 25G TipLok
25 x 1 dose 23G TipLok
25 x 1 dose 25G TipLok","$9.00","3/31/02","GlaxoSmithKline",2001-04-06,2001,"$24.20",NA,NA
"12","Hepatitis
B• ¤ Preservative Free Pediatric/Adolescent","RECOMBIVAX HB®","10 x
1 dose vial","$9.00","3/31/02","Merck",2001-04-06,2001,"$20.37",NA,NA
"13","Hepatitis
B 2 dose• Adolescent (11- 15)","RECOMBIVAX HB®","10 x 1 dose vials
5 x 1 dose syringes","$23.75","3/31/02","Merck",2001-04-06,2001,"",NA,NA
"14","Hepatitis
B-Adult•","RECOMBIVAX HB®","10 x 1 dose vials 10 x 3 dose vial
5 x 1 dose syringe","$23.25","9/23/01","Merck",2001-04-06,2001,"$51.73",NA,NA
"15","Hepatitis
B-Adult•","ENGERIX-B®","1 x 1 dose vial 5 x 1 dose Tiplok
25 x 1 dose Tiplok","$23.25","9/23/01","GlaxoSmithKline",2001-04-06,2001,"$51.73",NA,NA
"16","Hib• ¤","PedvaxHIB®","10 x
1 dose vials","$8.10","3/31/02","Merck",2001-04-06,2001,"$18.12",NA,NA
"17","Hib• ¤","HibTITER®","5 x 1 dose vial","$6.00","3/31/02","Wyeth/Lederle",2001-04-06,2001,"$15.88",NA,NA
"18","Hib• ¤","ActHIB®","5 x 1 dose vial","$5.75","3/31/02","Aventis Pateur",2001-04-06,2001,"$15.25",NA,NA
"19","Influenza","Fluzone®","10 dose vial","$2.365","1/31/01","Aventis Pasteur",2001-04-06,2001,"",NA,NA
"20","Influenza","Flushield®","10 dose vial","$2.365","1/31/01","Wyeth/Lederle",2001-04-06,2001,"",NA,NA
"21","MMR• ¤","MMR II®","10 x 1 dose vials","$15.53","3/31/02","Merck",2001-04-06,2001,"$28.19",NA,NA
"22","Measles• ¤","Attenuvax®","10 x 1 dose vials","$6.90","3/31/02","Merck",2001-04-06,2001,"$10.40",NA,NA
"23","Mumps• ¤","Mumpsvax®","10 x 1 dose vials","$9.24","3/31/02","Merck",2001-04-06,2001,"$13.36",NA,NA
"24","Pneumococcal
7-valent• ¤ (Pediatric)","Prevnar®","5 x 1 dose vial","$45.99","3/31/02","Wyeth/Lederle",2001-04-06,2001,"$58.75",NA,NA
